participant,trial,encoding,task_type,task_set,answer,correct,confidence,time_ms
P08,3,hops_grid,decision,1,Disagree,1,3,8694
P08,4,violin_box,ranking,2,Gentoo,0,2,34043
P08,5,violin_box,estimation,2,46.5,1,3,25710
P08,6,violin_box,decision,2,Disagree,1,4,16987
P08,7,errorbar,ranking,3,Gentoo,1,5,14483
P08,8,errorbar,estimation,3,39,1,3,32807
P08,9,errorbar,decision,3,Agree,1,5,17854
P09,1,hops_grid,ranking,1,Chinstrap,1,5,9262
P09,2,hops_grid,estimation,1,48.2,1,5,21497
P09,3,hops_grid,decision,1,Disagree,1,5,20681
P09,4,errorbar,ranking,2,Adelie,1,5,47160
P09,5,errorbar,estimation,2,47.6,1,5,17353
P09,6,errorbar,decision,2,Disagree,1,5,8485
P09,7,violin_box,ranking,3,Gentoo,1,5,18322
P09,8,violin_box,estimation,3,38.3,1,5,38941
P09,9,violin_box,decision,3,Agree,1,5,13186
P10,1,errorbar,ranking,1,Chinstrap,1,5,19440
P10,2,errorbar,estimation,1,49.5,1,5,19694
P10,3,errorbar,decision,1,Disagree,1,5,25104
P10,4,hops_grid,ranking,2,Adelie,1,5,19214
P10,5,hops_grid,estimation,2,48.2,1,4,120058
P10,6,hops_grid,decision,2,Disagree,1,5,16235
P10,7,violin_box,ranking,3,Gentoo,1,5,28404
P10,8,violin_box,estimation,3,38.2,1,5,21059
P10,9,violin_box,decision,3,Agree,1,5,10157
P11,1,hops_grid,ranking,1,Chinstrap,1,4,55175
P11,2,hops_grid,estimation,1,48,1,4,46073
P11,3,hops_grid,decision,1,Disagree,1,4,37663
P11,4,violin_box,ranking,2,Adelie,1,4,63846
P11,5,violin_box,estimation,2,47,1,5,48641
P11,6,violin_box,decision,2,Disagree,1,5,43166
P11,7,errorbar,ranking,3,Gentoo,1,5,20739
P11,8,errorbar,estimation,3,38.9,1,4,23319
P11,9,errorbar,decision,3,Agree,1,5,14275
P12,1,violin_box,ranking,1,Chinstrap,1,5,12916
P12,2,violin_box,estimation,1,48.6,1,5,42533
P12,3,violin_box,decision,1,Disagree,1,5,10072
P12,4,errorbar,ranking,2,Adelie,1,5,15844
P12,5,errorbar,estimation,2,47.5,1,5,32835
P12,6,errorbar,decision,2,Disagree,1,5,37524
P12,7,hops_grid,ranking,3,Gentoo,1,5,10644
P12,8,hops_grid,estimation,3,38.5,1,5,44339
P12,9,hops_grid,decision,3,Agree,1,5,14741
P13,1,violin_box,ranking,1,Chinstrap,1,5,235729
P13,2,violin_box,estimation,1,48,1,4,12388
P13,3,violin_box,decision,1,Disagree,1,4,13051
P13,4,errorbar,ranking,2,Adelie,1,5,21177
P13,5,errorbar,estimation,2,47.5,1,4,31480
P13,6,errorbar,decision,2,Disagree,1,5,14316
P13,7,hops_grid,ranking,3,Gentoo,1,5,37617
P13,8,hops_grid,estimation,3,39,1,4,52307
P13,9,hops_grid,decision,3,Agree,1,5,13669
P14,1,violin_box,ranking,1,Chinstrap,1,5,22659
P14,2,violin_box,estimation,1,48,1,5,73496
P14,3,violin_box,decision,1,Disagree,1,5,6860
P14,4,hops_grid,ranking,2,Adelie,1,5,13538
P14,5,hops_grid,estimation,2,46.5,1,4,20357
P14,6,hops_grid,decision,2,Disagree,1,5,6091
P14,7,errorbar,ranking,3,Gentoo,1,5,12836
P14,8,errorbar,estimation,3,38,1,5,7137
P14,9,errorbar,decision,3,Agree,1,5,17668
P15,1,errorbar,ranking,1,Chinstrap,1,5,43411
P15,2,errorbar,estimation,1,49,1,5,40835
P15,3,errorbar,decision,1,Disagree,1,5,70698
P15,4,violin_box,ranking,2,Adelie,1,5,5714
P15,5,violin_box,estimation,2,47.5,1,5,15416
P15,6,violin_box,decision,2,Disagree,1,5,17091
P15,7,hops_grid,ranking,3,Gentoo,1,5,12725
P15,8,hops_grid,estimation,3,38.75,1,5,82875
P15,9,hops_grid,decision,3,Agree,1,5,28374
P16,1,errorbar,ranking,1,Chinstrap,1,5,10524
P16,2,errorbar,estimation,1,48.8,1,4,20549
P16,3,errorbar,decision,1,Disagree,1,5,14459
P16,4,violin_box,ranking,2,Adelie,1,5,13309
P16,5,violin_box,estimation,2,47.3,1,4,48965
P16,6,violin_box,decision,2,Disagree,1,5,36900
P16,7,hops_grid,ranking,3,Gentoo,1,5,16633
P16,8,hops_grid,estimation,3,38.8,1,4,53827
P16,9,hops_grid,decision,3,Agree,1,5,17780
